-3, -2.75, -2.5, -2.25, -2, -1.75, -1.5, -1.25, -1, -0.75, -0.5, -0.25, 0
2.19766, 2.18344, 2.31804, 2.34665, 2.35463, 2.39974, 2.46563, 2.52383, 2.46829, 2.71717, 2.75003, 2.82882, 2.85908
2.34145, 2.28847, 2.31287, 2.31171, 2.29811, 2.4948, 2.42254, 2.6012, 2.53285, 2.75277, 2.85481, 2.86682, 2.99102
2.41366, 2.27997, 2.5066, 2.3748, 2.56564, 2.56879, 2.61551, 2.73757, 2.73311, 2.9592, 3.00017, 3.03172, 3.08709
2.44609, 2.49195, 2.49794, 2.41842, 2.64814, 2.55516, 2.56502, 2.85954, 2.86279, 2.89491, 3.04359, 3.05654, 2.99505
2.63834, 2.62057, 2.57324, 2.63736, 2.68357, 2.724, 2.79659, 2.86188, 2.97055, 3.00282, 3.14866, 3.12308, 2.98973
2.69417, 2.67264, 2.69067, 2.84678, 2.86871, 3.00684, 3.02137, 3.01344, 3.0826, 3.1755, 3.19939, 3.18048, 3.03773
2.68837, 2.80796, 2.765, 2.81197, 2.89445, 2.93006, 2.90939, 3.03056, 3.2172, 3.30681, 3.12179, 3.25209, 3.03729
2.65281, 2.60642, 2.67498, 2.69432, 2.62499, 2.79251, 2.99932, 3.12927, 3.26729, 3.41831, 3.37262, 3.31299, 3.1319
2.43281, 2.36023, 2.44273, 2.35414, 2.49992, 2.39444, 2.47901, 2.94265, 3.06868, 3.31557, 3.32885, 3.34119, 3.2345
1.9684, 2.09012, 2.0329, 2.18124, 2.22097, 2.19449, 2.13674, 2.40816, 3.07062, 3.29542, 3.31234, 3.23797, 3.16481
1.63926, 1.63856, 1.72674, 1.75816, 1.84529, 2.02673, 1.90707, 1.98267, 2.92832, 3.02009, 3.01368, 3.05521, 3.03215
1.34493, 1.41338, 1.43679, 1.3571, 1.58153, 1.74247, 1.78429, 1.7517, 2.7291, 2.21995, 2.53758, 2.60918, 2.55993
1.09616, 1.11185, 1.11763, 1.25462, 1.26313, 1.37491, 1.52741, 1.80517, 2.17977, 1.6496, 1.57444, 1.83202, 2.02668
